# Isobaric VLE data for methanol-water ,,,,,,,,
# Component 1: methanol
# Component 2: water
# Source: Gmehling,, J. and Onken,U. 1977. Vapor-Liquid Equilibrium Data Collection, Dechema, Frankfurt, Germany,vol. 1,p. 60
T (degC),P (atm),x_methanol,y_methanol,,,,,
100.0,1.0,0,0.0,,,,,
98.4,1.0,0.012,0.068,,,,,
96.9,1.0,0.020,0.121,,,,,
95.8,1.0,0.026,0.159,,,,,
95.1,1.0,0.033,0.188,,,,,
94.1,1.0,0.036,0.215,,,,,
92.2,1.0,0.053,0.275,,,,,
90.0,1.0,0.074,0.356,,,,,
88.6,1.0,0.087,0.395,,,,,
86.9,1.0,0.108,0.440,,,,,
85.4,1.0,0.129,0.488,,,,,
83.4,1.0,0.164,0.537,,,,,
82.0,1.0,0.191,0.572,,,,,
79.1,1.0,0.268,0.648,,,,,
78.1,1.0,0.294,0.666,,,,,
76.5,1.0,0.352,0.704,,,,,
75.3,1.0,0.402,0.734,,,,,
74.2,1.0,0.454,0.760,,,,,
73.2,1.0,0.502,0.785,,,,,
72.0,1.0,0.563,0.812,,,,,
70.9,1.0,0.624,0.835,,,,,
69.2,1.0,0.717,0.877,,,,,
68.1,1.0,0.790,0.910,,,,,
67.2,1.0,0.843,0.930,,,,,
66.9,1.0,0.857,0.939,,,,,
65.7,1.0,0.938,0.971,,,,,
65.0,1.0,1,1,,,,,